timestamp,CROISSANTS,DJEMBES,JAMS,KELP,PICNIC_BASKET1,PICNIC_BASKET2,RAINFOREST_RESIN,SQUID_INK,SYNTHETIC_BASKET,SPREAD,SPREAD_PCT
1400,4274.0,13413.5,6542.5,2032.0,58696.5,30247.0,9997.5,1841.5,58685.0,11.5,0.019596148930731874
1500,4273.5,13413.0,6542.5,2034.5,58694.5,30247.0,9997.0,1844.5,58681.5,13.0,0.022153489600640747
1600,4274.0,13412.5,6542.5,2033.5,58692.5,30248.5,10000.0,1845.5,58684.0,8.5,0.014484356894553881
1700,4274.5,13412.5,6542.5,2033.0,58693.5,30248.0,10000.0,1842.0,58687.0,6.5,0.011075706715286179
1800,4274.5,13413.5,6542.5,2034.0,58690.5,30247.0,10001.0,1844.0,58688.0,2.5,0.004259814612868048
1900,4274.5,13413.5,6542.0,2033.5,58691.5,30246.0,10000.0,1844.5,58686.5,5.0,0.008519846983548175
2000,4274.5,13413.5,6542.0,2033.5,58691.5,30246.5,10000.0,1847.5,58686.5,5.0,0.008519846983548175
2100,4274.0,13414.5,6542.0,2033.0,58691.5,30246.5,10000.0,1846.0,58684.5,7.0,0.011928192282459593
2200,4274.0,13415.5,6542.5,2033.5,58684.5,30246.0,9997.0,1847.5,58687.0,-2.5,-0.0042598871981869915
2300,4273.5,13415.0,6542.5,2033.5,58677.5,30240.0,10000.0,1849.5,58683.5,-6.0,-0.010224339039082535
2400,4273.5,13415.5,6543.0,2033.0,58678.5,30238.5,10000.0,1847.5,58685.5,-7.0,-0.011927989026250096
2500,4274.0,13415.5,6542.5,2033.5,58675.5,30239.5,10001.0,1848.5,58687.0,-11.5,-0.01959548111166016
2600,4274.5,13415.5,6543.0,2033.5,58679.5,30240.5,10003.0,1850.5,58691.5,-12.0,-0.020445890801904877
2700,4274.5,13415.5,6543.0,2033.5,58676.5,30240.5,10001.0,1849.5,58691.5,-15.0,-0.02555736350238109
2800,4274.5,13416.5,6542.5,2033.0,58676.5,30244.0,10000.0,1850.5,58691.0,-14.5,-0.024705661856161937
2900,4274.5,13416.5,6543.0,2033.0,58675.5,30245.5,10000.0,1849.5,58692.5,-17.0,-0.028964518464880518
3000,4274.5,13417.5,6544.0,2034.5,58684.0,30249.5,10000.0,1850.5,58696.5,-12.5,-0.02129598868757081
3100,4275.0,13416.5,6544.0,2033.5,58681.5,30251.5,10001.0,1849.5,58698.5,-17.0,-0.02896155779108495
3200,4274.5,13417.5,6544.0,2032.5,58685.0,30253.5,10003.5,1848.5,58696.5,-11.5,-0.019592309592565145
3300,4274.5,13415.5,6543.5,2033.5,58675.5,30250.5,10003.0,1850.5,58693.0,-17.5,-0.029816162063619173
3400,4274.5,13416.5,6543.5,2033.5,58678.5,30248.5,10001.0,1850.5,58694.0,-15.5,-0.02640815074794698
3500,4274.5,13414.5,6545.0,2033.5,58684.5,30250.0,9998.5,1851.5,58696.5,-12.0,-0.02044414914006798
3600,4274.5,13415.0,6544.0,2033.5,58681.5,30247.0,9998.5,1851.5,58694.0,-12.5,-0.02129689576447337
3700,4274.5,13413.5,6544.0,2033.5,58679.5,30246.0,10001.5,1852.5,58692.5,-13.0,-0.022149337649614517
3800,4274.5,13414.5,6544.0,2033.0,58687.0,30249.5,10000.0,1853.5,58693.5,-6.5,-0.011074480138345813
3900,4274.0,13414.5,6543.0,2033.5,58679.5,30243.5,10000.0,1853.5,58687.5,-8.0,-0.013631522896698616
4000,4274.0,13415.0,6543.0,2033.5,58685.5,30247.5,10003.0,1855.5,58688.0,-2.5,-0.004259814612868048
4100,4273.5,13414.5,6543.0,2034.0,58681.5,30246.0,10001.0,1856.0,58684.5,-3.0,-0.005112082406768397
4200,4273.5,13415.5,6543.0,2033.0,58678.5,30245.5,10003.0,1855.0,58685.5,-7.0,-0.011927989026250096
4300,4273.5,13415.5,6543.0,2033.5,58678.5,30248.0,9998.5,1855.5,58685.5,-7.0,-0.011927989026250096
4400,4273.5,13415.5,6542.5,2033.5,58683.5,30249.0,10000.0,1854.5,58684.0,-0.5,-0.0008520209937972871
4500,4273.5,13416.5,6543.0,2033.0,58680.5,30248.5,10000.0,1853.5,58686.5,-6.0,-0.01022381638025781
4600,4273.5,13415.5,6543.0,2033.0,58676.5,30248.0,10000.0,1857.5,58685.5,-9.0,-0.01533598589089298
4700,4271.5,13415.5,6543.0,2033.5,58674.5,30243.0,10001.5,1856.5,58673.5,1.0,0.0017043469368624678
4800,4271.5,13415.5,6543.0,2034.5,58669.5,30242.5,10000.0,1862.0,58673.5,-4.0,-0.006817387747449871
4900,4271.5,13415.0,6543.0,2033.0,58670.5,30241.5,10000.0,1858.0,58673.0,-2.5,-0.0042609036524466105
5000,4271.5,13415.5,6543.0,2033.5,58667.0,30241.5,10001.0,1861.5,58673.5,-6.5,-0.01107825508960604
5100,4271.5,13416.5,6543.0,2033.5,58663.5,30238.0,10000.0,1860.5,58674.5,-11.0,-0.018747496783099983
5200,4271.5,13415.0,6542.5,2034.0,58659.5,30236.5,10002.0,1860.0,58671.5,-12.0,-0.020452860417749675
5300,4271.5,13413.0,6541.5,2033.5,58654.5,30238.0,9996.5,1858.5,58666.5,-12.0,-0.02045460356421467
5400,4271.5,13412.5,6541.0,2033.5,58656.5,30239.0,10000.0,1858.5,58664.5,-8.0,-0.013636867270666245
5500,4271.5,13413.0,6541.0,2033.5,58654.0,30235.0,10000.0,1858.5,58665.0,-11.0,-0.01875053268558766
5600,4271.5,13413.5,6541.0,2033.5,58653.5,30235.5,10001.0,1860.5,58665.5,-12.0,-0.02045495222916365
5700,4271.5,13413.5,6541.0,2033.5,58654.5,30234.5,10000.0,1860.5,58665.5,-11.0,-0.018750372876733343
5800,4271.5,13413.5,6541.0,2033.5,58652.0,30235.0,10000.0,1859.5,58665.5,-13.5,-0.023011821257809102
5900,4271.5,13414.5,6541.0,2033.5,58653.0,30232.5,10000.0,1858.5,58666.5,-13.5,-0.023011429009741503
6000,4271.5,13414.5,6541.0,2033.5,58656.0,30233.0,9998.5,1860.5,58666.5,-10.5,-0.017897778118687837
6100,4271.5,13413.5,6541.0,2033.5,58653.0,30234.0,10000.0,1860.5,58665.5,-12.5,-0.0213072419053788
6200,4271.5,13414.5,6541.0,2034.5,58656.5,30233.5,10001.0,1861.5,58666.5,-10.0,-0.017045502970178893
6300,4271.5,13413.5,6541.0,2033.5,58657.5,30236.0,10000.0,1860.5,58665.5,-8.0,-0.013636634819442432
6400,4271.5,13413.5,6540.5,2033.5,58657.5,30237.5,9999.0,1860.0,58664.0,-6.5,-0.011080049093140597
6500,4271.5,13414.0,6541.0,2033.5,58660.5,30235.0,10000.0,1860.5,58666.0,-5.5,-0.009375106535301537
6600,4271.5,13414.5,6540.5,2033.5,58654.5,30233.0,10000.0,1861.5,58665.0,-10.5,-0.017898235745333675
6700,4271.5,13413.5,6540.5,2033.0,58653.0,30230.5,10000.0,1860.0,58664.0,-11.0,-0.018750852311468703
6800,4271.5,13414.0,6541.0,2034.0,58658.5,30235.0,10002.0,1861.0,58666.0,-7.5,-0.012784236184502097
6900,4271.5,13414.5,6541.5,2033.0,58663.5,30238.5,10000.0,1861.0,58668.0,-4.5,-0.00767028022090407
7000,4271.5,13414.5,6541.5,2033.5,58662.5,30236.5,10000.0,1861.5,58668.0,-5.5,-0.00937478693666053
7100,4271.5,13414.5,6541.0,2033.5,58661.0,30234.0,9997.0,1861.5,58666.5,-5.5,-0.00937502663359839
7200,4271.5,13414.5,6541.0,2033.5,58661.5,30234.0,9999.0,1860.5,58666.5,-5.0,-0.008522751485089446
7300,4271.0,13414.5,6541.0,2033.5,58659.5,30232.5,10000.0,1859.5,58663.5,-4.0,-0.00681854986490748
7400,4271.0,13414.5,6541.0,2033.5,58660.5,30235.5,10003.5,1860.5,58663.5,-3.0,-0.00511391239868061
7500,4270.5,13414.5,6540.5,2033.0,58657.5,30230.0,10000.0,1859.0,58659.0,-1.5,-0.002557152355137319
7600,4270.5,13413.5,6540.0,2033.5,58653.5,30227.0,10003.5,1860.5,58656.5,-3.0,-0.00511452268717022
7700,4271.0,13414.0,6540.0,2033.5,58657.5,30229.5,9999.0,1859.5,58660.0,-2.5,-0.0042618479372655985
7800,4270.5,13414.0,6539.0,2033.5,58651.5,30228.0,10000.0,1860.0,58654.0,-2.5,-0.004262283902206158
7900,4270.5,13414.0,6539.5,2033.5,58652.5,30228.5,9999.0,1859.5,58655.5,-3.0,-0.005114609883131164
8000,4270.5,13413.5,6539.0,2034.5,58645.5,30224.5,10002.0,1858.5,58653.5,-8.0,-0.013639424757260862
8100,4270.5,13414.0,6539.0,2033.5,58646.5,30223.0,10000.0,1859.5,58654.0,-7.5,-0.012786851706618474
8200,4271.0,13412.5,6539.0,2033.5,58647.5,30223.0,10000.0,1858.5,58655.5,-8.0,-0.01363895968834977
8300,4270.5,13410.5,6539.0,2033.5,58645.5,30222.0,10001.5,1858.5,58650.5,-5.0,-0.0085250765125617
8400,4270.5,13411.0,6538.5,2033.5,58650.5,30222.5,10001.5,1858.5,58649.5,1.0,0.0017050443737798276
8500,4270.5,13411.5,6539.0,2033.5,58649.5,30224.0,10000.0,1859.5,58651.5,-2.0,-0.0034099724644723493
8600,4270.5,13411.5,6540.0,2033.5,58657.5,30228.5,10000.0,1858.5,58654.5,3.0,0.005114697082065314
8700,4270.5,13411.5,6540.0,2034.5,58653.5,30228.5,10000.0,1858.5,58654.5,-1.0,-0.0017048990273551051
8800,4270.5,13411.5,6540.5,2033.5,58650.5,30224.5,10000.0,1858.5,58656.0,-5.5,-0.009376704855428259
8900,4270.5,13412.5,6540.0,2034.0,58653.5,30222.0,10000.0,1857.5,58655.5,-2.0,-0.0034097399220874426
9000,4270.5,13411.5,6540.0,2034.0,58652.5,30223.0,10000.0,1857.5,58654.5,-2.0,-0.0034097980547102102
9100,4270.5,13410.5,6540.0,2034.5,58647.5,30226.0,9996.5,1856.5,58653.5,-6.0,-0.010229568567945647
9200,4270.5,13411.5,6540.0,2034.5,58650.5,30229.5,10000.0,1856.5,58654.5,-4.0,-0.0068195961094204205
9300,4270.5,13411.0,6539.5,2034.0,58651.5,30225.5,10003.0,1855.5,58652.5,-1.0,-0.0017049571629512807
9400,4270.5,13410.5,6539.5,2034.5,58648.5,30227.5,10003.0,1856.5,58652.0,-3.5,-0.005967400941144377
9500,4270.5,13411.5,6539.0,2034.0,58651.5,30226.5,10003.0,1854.5,58651.5,0.0,0.0
9600,4270.5,13411.5,6539.0,2034.0,58652.5,30227.5,9999.0,1856.5,58651.5,1.0,0.0017049862322361747
9700,4270.5,13413.0,6538.5,2033.0,58657.5,30224.5,9998.0,1855.5,58651.5,6.0,0.010229917393417049
9800,4270.5,13414.0,6538.5,2034.0,58650.5,30224.5,10001.0,1856.5,58652.5,-2.0,-0.0034099143259025614
9900,4270.5,13413.5,6539.0,2034.0,58647.5,30228.0,10000.0,1859.5,58653.5,-6.0,-0.010229568567945647
10000,4270.5,13413.0,6539.0,2034.0,58647.5,30227.0,10000.0,1857.5,58653.0,-5.5,-0.009377184457742996
10100,4270.5,13410.5,6539.0,2034.0,58646.0,30226.5,10003.0,1858.0,58650.5,-4.5,-0.00767256886130553
10200,4270.5,13411.0,6539.0,2034.5,58647.5,30230.0,10000.0,1858.5,58651.0,-3.5,-0.0059675026853762084
10300,4270.5,13411.0,6539.0,2034.5,58647.5,30229.5,10000.0,1859.5,58651.0,-3.5,-0.0059675026853762084
10400,4271.0,13410.5,6539.0,2034.5,58649.5,30233.0,10000.0,1857.5,58653.5,-4.0,-0.006819712378630431
10500,4271.0,13411.0,6539.5,2034.5,58647.5,30233.0,10000.0,1857.5,58655.5,-8.0,-0.01363895968834977
10600,4270.5,13410.5,6539.5,2035.5,58649.5,30232.5,10000.0,1858.5,58652.0,-2.5,-0.004262429243674555
10700,4270.5,13410.5,6538.5,2034.5,58640.5,30231.0,9996.5,1858.5,58649.0,-8.5,-0.014493000733175332
10800,4270.5,13410.5,6539.0,2034.5,58642.5,30230.0,9998.5,1858.0,58650.5,-8.0,-0.01364012242009872
10900,4270.5,13410.5,6540.0,2033.5,58644.5,30234.5,9998.0,1860.5,58653.5,-9.0,-0.01534435285191847
11000,4270.5,13408.5,6540.5,2034.0,58642.5,30231.5,10000.0,1864.5,58653.0,-10.5,-0.017901897601145723
11100,4270.5,13409.5,6540.5,2034.5,58643.0,30230.5,9999.0,1865.5,58654.0,-11.0,-0.018754049169707094
11200,4270.5,13409.5,6542.0,2033.0,58645.0,30230.5,10000.0,1864.0,58658.5,-13.5,-0.023014567368753035
11300,4270.5,13409.5,6542.0,2034.5,58642.5,30233.5,9999.0,1863.5,58658.5,-16.0,-0.027276524288892486
11400,4270.5,13409.5,6541.0,2034.0,58639.5,30236.0,10000.0,1859.5,58655.5,-16.0,-0.02727791937669954
11500,4270.0,13409.5,6541.0,2034.0,58638.5,30236.5,10000.0,1857.0,58652.5,-14.0,-0.02386940028131793
11600,4269.5,13409.0,6541.0,2034.0,58636.0,30239.0,10000.0,1859.0,58649.0,-13.0,-0.02216576582720933
11700,4269.5,13409.5,6541.5,2035.0,58633.5,30243.5,10002.0,1859.0,58651.0,-17.5,-0.02983751342688104
11800,4269.5,13410.5,6541.5,2034.5,58631.5,30243.5,10001.0,1858.5,58652.0,-20.5,-0.03495191979813135
11900,4269.5,13410.5,6541.5,2035.0,58630.5,30241.0,10003.0,1858.0,58652.0,-21.5,-0.036656891495601175
12000,4270.0,13411.0,6541.5,2034.5,58636.5,30241.5,10000.0,1856.5,58655.5,-19.0,-0.0323925292598307
12100,4270.0,13414.0,6541.5,2034.0,58645.0,30237.5,9997.0,1854.5,58658.5,-13.5,-0.023014567368753035
12200,4270.0,13414.5,6543.0,2034.0,58648.5,30240.5,10000.0,1857.0,58663.5,-15.0,-0.025569561993403055
12300,4269.5,13414.5,6543.5,2033.5,58647.5,30238.5,9999.0,1857.5,58662.0,-14.5,-0.024717875285534076
12400,4269.5,13414.5,6543.5,2034.0,58642.5,30237.0,10003.5,1858.5,58662.0,-19.5,-0.0332412805564079
12500,4269.5,13414.5,6543.5,2034.0,58642.5,30233.5,10002.0,1859.0,58662.0,-19.5,-0.0332412805564079
12600,4267.5,13414.5,6543.0,2034.5,58632.5,30227.0,10002.5,1860.0,58648.5,-16.0,-0.02728117513661901
12700,4267.5,13415.5,6543.0,2033.5,58627.5,30228.5,10003.0,1857.5,58649.5,-22.0,-0.03751097622315621
12800,4268.5,13417.5,6543.0,2034.0,58631.5,30234.0,10001.0,1855.0,58657.5,-26.0,-0.044325107616246855
12900,4268.5,13417.5,6543.0,2033.0,58634.0,30234.5,9999.0,1854.0,58657.5,-23.5,-0.04006307803776159
13000,4268.5,13417.5,6543.0,2033.5,58633.5,30233.5,9999.0,1852.5,58657.5,-24.0,-0.04091548395345864
13100,4268.5,13418.0,6543.0,2032.5,58642.5,30234.0,9997.5,1851.5,58658.0,-15.5,-0.026424358143816697
13200,4268.5,13416.0,6543.0,2034.5,58640.5,30230.5,10001.0,1852.5,58656.0,-15.5,-0.026425259138025094
13300,4268.0,13414.5,6542.5,2033.5,58641.5,30229.5,10003.0,1852.5,58650.0,-8.5,-0.014492753623188406
13400,4268.5,13415.5,6543.5,2033.5,58642.5,30231.0,10000.0,1853.5,58657.0,-14.5,-0.02471998226980582
13500,4268.0,13415.0,6542.0,2033.5,58640.5,30228.5,10000.0,1854.5,58649.0,-8.5,-0.014493000733175332
13600,4268.0,13415.0,6541.5,2033.0,58643.0,30228.5,9999.0,1850.0,58647.5,-4.5,-0.007672961336800376
13700,4267.5,13415.5,6541.5,2033.5,58642.5,30226.5,10003.5,1848.5,58645.0,-2.5,-0.004262938016881234
13800,4268.0,13416.5,6541.5,2033.5,58637.5,30229.0,10001.5,1848.0,58649.0,-11.5,-0.01960817746253133
13900,4268.0,13416.0,6541.0,2032.5,58641.5,30227.5,10000.0,1850.5,58647.0,-5.5,-0.009378143809572527
14000,4267.5,13416.5,6541.0,2033.5,58643.0,30229.5,10003.0,1853.5,58644.5,-1.5,-0.0025577846174833106
14100,4268.5,13417.0,6541.0,2033.5,58646.0,30231.5,9999.0,1852.5,58651.0,-5.0,-0.008525003836251726
14200,4268.0,13417.0,6541.0,2033.5,58643.5,30230.0,10000.0,1853.5,58648.0,-4.5,-0.007672895921429546
14300,4268.5,13416.5,6541.5,2033.5,58653.5,30233.5,10000.0,1850.5,58652.0,1.5,0.002557457546204733
14400,4268.0,13417.5,6541.5,2034.0,58654.5,30229.5,10003.0,1854.5,58650.0,4.5,0.007672634271099744
14500,4268.0,13417.5,6541.5,2033.0,58655.0,30229.5,9999.0,1852.5,58650.0,5.0,0.008525149190110827
14600,4267.5,13416.0,6540.5,2032.5,58651.0,30226.0,10000.0,1848.5,58642.5,8.5,0.014494607153514943
14700,4267.5,13415.5,6541.0,2033.0,58653.5,30227.5,10000.0,1851.0,58643.5,10.0,0.017052188222053594
14800,4267.5,13416.5,6541.0,2033.0,58650.5,30230.5,9997.0,1850.0,58644.5,6.0,0.010231138469933242
14900,4267.5,13416.5,6541.5,2034.5,58645.5,30229.5,9999.0,1853.5,58646.0,-0.5,-0.0008525730655117145
15000,4267.5,13416.5,6542.0,2034.0,58650.5,30229.0,10000.0,1850.5,58647.5,3.0,0.005115307557866917
15100,4267.5,13416.5,6542.0,2033.5,58649.5,30231.5,9997.0,1851.5,58647.5,2.0,0.0034102050385779446
15200,4267.5,13417.5,6542.0,2034.0,58657.5,30232.5,10001.0,1850.0,58648.5,9.0,0.015345661014348195
15300,4267.5,13417.5,6541.0,2033.0,58653.5,30230.5,9999.0,1851.0,58645.5,8.0,0.013641285350112112
15400,4267.5,13417.5,6541.0,2034.0,58655.5,30229.5,10000.0,1848.5,58645.5,10.0,0.017051606687640143
15500,4267.5,13419.0,6541.0,2034.0,58654.5,30227.0,9996.5,1851.5,58647.0,7.5,0.012788377922144356
15600,4268.5,13419.0,6541.0,2034.0,58662.0,30230.5,10000.0,1847.5,58653.0,9.0,0.015344483658124904
15700,4268.5,13417.5,6541.0,2033.5,58657.5,30231.5,10000.0,1848.0,58651.5,6.0,0.010229917393417049
15800,4268.5,13417.0,6541.0,2034.5,58657.0,30229.0,10001.0,1852.5,58651.0,6.0,0.010230004603502072
15900,4268.5,13418.5,6540.5,2032.5,58655.5,30229.5,9999.0,1853.5,58651.0,4.5,0.007672503452626553
16000,4268.5,13419.0,6541.0,2033.0,58650.5,30231.5,10000.0,1857.0,58653.0,-2.5,-0.004262356571701362
16100,4268.5,13419.5,6541.0,2032.5,58658.5,30228.5,10000.0,1856.5,58653.5,5.0,0.008524640473288039
16200,4268.5,13418.5,6541.0,2034.0,58653.5,30225.0,9998.5,1854.5,58652.5,1.0,0.0017049571629512807
16300,4268.5,13418.5,6540.5,2033.5,58655.5,30226.0,10000.0,1851.5,58651.0,4.5,0.007672503452626553
16400,4268.5,13417.5,6541.0,2033.0,58651.0,30226.0,9999.0,1849.0,58651.5,-0.5,-0.0008524931161180873
16500,4268.5,13417.5,6541.0,2033.5,58651.5,30226.0,10000.0,1848.5,58651.5,0.0,0.0
16600,4268.0,13418.5,6541.0,2034.5,58651.5,30228.0,10000.0,1849.0,58649.5,2.0,0.003410088747559655
16700,4268.0,13418.5,6541.0,2034.0,58651.5,30228.0,10003.5,1843.5,58649.5,2.0,0.003410088747559655
16800,4267.5,13418.5,6541.0,2035.0,58654.0,30228.5,10002.0,1839.0,58646.5,7.5,0.012788486951480481
16900,4267.5,13417.5,6541.0,2034.5,58654.5,30227.0,10000.0,1843.5,58645.5,9.0,0.015346446018876128
17000,4267.5,13415.5,6541.5,2034.5,58656.5,30229.0,10000.0,1844.0,58645.0,11.5,0.01960951487765368
17100,4267.5,13415.5,6542.0,2034.5,58664.0,30230.5,10000.0,1850.5,58646.5,17.5,0.029839802886787788
17200,4268.0,13414.5,6541.0,2034.5,58664.5,30229.5,10000.0,1849.5,58645.5,19.0,0.03239805270651627
17300,4268.5,13414.5,6541.0,2034.0,58662.5,30229.0,10000.0,1849.0,58648.5,14.0,0.023871028244541632
17400,4268.5,13414.5,6541.5,2035.0,58671.5,30230.0,9996.5,1850.0,58650.0,21.5,0.03665814151747655
17500,4268.5,13414.5,6541.0,2034.5,58671.5,30231.0,10000.0,1849.5,58648.5,23.0,0.039216689258889825
17600,4268.5,13414.5,6541.5,2034.5,58672.5,30231.5,10000.0,1850.0,58650.0,22.5,0.03836317135549872
17700,4269.5,13415.5,6541.0,2034.5,58680.5,30233.0,10001.5,1848.5,58655.5,25.0,0.04262174902609303
17800,4269.0,13415.5,6541.0,2034.0,58683.5,30232.5,9997.0,1849.0,58652.5,31.0,0.0528536720514897
17900,4269.5,13415.0,6541.0,2035.5,58684.5,30235.0,9996.5,1849.5,58655.0,29.5,0.05029409257522803
18000,4269.5,13414.5,6541.0,2034.5,58678.5,30235.0,10000.0,1850.0,58654.5,24.0,0.040917576656522514
18100,4270.5,13414.5,6540.5,2034.5,58691.0,30237.5,10000.0,1843.5,58659.0,32.0,0.05455258357626281
18200,4270.5,13414.5,6540.5,2034.5,58688.5,30235.5,9999.0,1841.5,58659.0,29.5,0.050290662984367275
18300,4270.5,13412.5,6540.0,2034.5,58684.5,30233.0,10000.0,1840.5,58655.5,29.0,0.049441228870267924
18400,4270.5,13412.0,6540.0,2035.5,58678.5,30231.5,10000.0,1841.0,58655.0,23.5,0.040064785610774874
18500,4270.5,13411.5,6540.5,2034.5,58681.5,30231.5,10000.0,1841.5,58656.0,25.5,0.04347381342062193
18600,4269.5,13411.5,6540.0,2034.5,58680.5,30230.5,10000.0,1836.5,58648.5,32.0,0.05456235027323802
18700,4269.5,13412.0,6539.5,2034.5,58681.5,30227.0,10003.5,1839.5,58647.5,34.0,0.05797348565582506
18800,4269.5,13412.5,6540.0,2034.5,58684.5,30225.0,9998.5,1838.0,58649.5,35.0,0.05967655308229397
18900,4269.5,13413.0,6540.0,2034.5,58683.5,30226.0,10003.5,1831.5,58650.0,33.5,0.05711849957374254
19000,4269.5,13413.5,6540.0,2034.5,58682.5,30223.5,10000.0,1829.5,58650.5,32.0,0.05456048968039488
19100,4269.5,13413.5,6540.0,2034.5,58681.5,30224.5,10000.0,1822.5,58650.5,31.0,0.05285547437788254
19200,4269.5,13413.5,6540.0,2034.5,58678.5,30224.0,9998.5,1824.5,58650.5,28.0,0.04774042847034552
19300,4269.5,13413.5,6540.0,2034.5,58683.5,30225.5,9997.0,1826.5,58650.5,33.0,0.05626550498290722
19400,4269.0,13413.5,6540.0,2034.5,58687.0,30224.5,9999.0,1830.5,58647.5,39.5,0.0673515495119144
19500,4268.5,13413.5,6540.0,2034.5,58692.5,30222.5,10000.0,1830.0,58644.5,48.0,0.08184910775946594
19600,4269.0,13415.0,6540.0,2034.5,58695.5,30223.0,10003.0,1829.5,58649.0,46.5,0.07928523930501799
19700,4269.5,13415.5,6539.5,2034.5,58699.5,30227.5,10000.0,1827.5,58651.0,48.5,0.08269253721164174
19800,4269.5,13415.0,6538.5,2034.5,58695.5,30224.5,10000.0,1826.5,58647.5,48.0,0.08184492092587067
19900,4269.5,13415.0,6539.0,2034.5,58697.0,30224.0,9997.0,1827.5,58649.0,48.0,0.08184282766969599
20000,4270.5,13415.0,6539.0,2034.0,58703.5,30229.0,9996.5,1832.0,58655.0,48.5,0.08268689796266303
20100,4270.5,13415.5,6539.0,2034.0,58709.5,30230.5,9997.0,1833.0,58655.5,54.0,0.09206297789636095
20200,4271.5,13415.5,6539.0,2034.5,58710.0,30233.0,10003.5,1835.0,58661.5,48.5,0.08267773582332535
20300,4271.0,13415.5,6539.0,2034.5,58709.5,30229.0,10003.5,1834.5,58658.5,51.0,0.0869439211708448
20400,4270.5,13415.5,6539.0,2034.5,58706.5,30225.0,10003.0,1830.5,58655.5,51.0,0.08694836801322979
20500,4270.0,13415.5,6539.0,2034.5,58704.5,30223.5,10001.0,1834.5,58652.5,52.0,0.0886577724734666
20600,4270.0,13414.5,6539.0,2034.5,58703.5,30229.5,9997.0,1834.5,58651.5,52.0,0.08865928407628108
20700,4270.5,13414.5,6539.5,2035.0,58701.5,30234.0,10000.0,1837.5,58656.0,45.5,0.07757092198581561
20800,4270.5,13413.5,6540.5,2034.5,58704.0,30238.0,10000.0,1840.5,58658.0,46.0,0.07842067578164956
20900,4270.5,13413.5,6541.0,2034.5,58699.5,30240.5,10000.0,1837.5,58659.5,40.0,0.0681901482283347
21000,4270.5,13413.5,6540.0,2034.5,58698.5,30241.5,10000.0,1836.5,58656.5,42.0,0.07160331762038308
21100,4271.5,13413.5,6539.5,2033.5,58696.5,30237.5,9997.5,1835.5,58661.0,35.5,0.060517209048601285
21200,4270.5,13413.5,6539.0,2035.5,58687.5,30238.0,9996.5,1836.5,58653.5,34.0,0.05796755521835867
21300,4270.5,13414.0,6538.5,2034.0,58680.5,30238.0,10000.0,1834.0,58652.5,28.0,0.04773880056263586
21400,4270.5,13414.5,6538.0,2034.5,58673.5,30234.5,10000.0,1836.5,58651.5,22.0,0.03750969710919584
21500,4270.5,13414.5,6538.5,2032.5,58676.5,30236.0,10000.0,1838.5,58653.0,23.5,0.0400661517739928
21600,4270.0,13414.5,6538.0,2034.5,58671.5,30236.5,10001.0,1844.5,58648.5,23.0,0.039216689258889825
21700,4270.0,13414.5,6538.0,2034.5,58667.0,30233.5,10000.0,1845.0,58648.5,18.5,0.03154385875171573
21800,4270.0,13414.0,6539.0,2034.5,58662.5,30235.0,10000.0,1845.5,58651.0,11.5,0.01960750882337897
21900,4269.5,13414.0,6539.0,2034.0,58662.5,30235.0,9998.5,1846.5,58648.0,14.5,0.024723775746828533
22000,4270.5,13414.5,6538.5,2034.5,58676.5,30240.0,10000.0,1845.5,58653.0,23.5,0.0400661517739928
22100,4270.5,13415.5,6538.5,2033.0,58675.5,30240.0,10000.0,1849.0,58654.0,21.5,0.03665564155897296
